x,y,state,wkt
-152.972727,3.250923,VcAx,"LINESTRING(-76.777 -69.720, 68.833 -76.561)"
-69.617768,-57.607755,Xq,"POLYGON((37.766 28.265, 37.766 50.034, 140.562 50.034, 140.562 28.265, 37.766 28.265))"
148.696343,-1.758353,hrxxpGx,POINT(-56.759 24.038)
177.650219,64.776601,mFA,POINT(19.147 -14.277)
-153.915236,68.154812,vF,"POLYGON((-4.323 29.412, -4.323 70.421, -53.519 70.421, -53.519 29.412, -4.323 29.412))"
-170.955107,-82.954169,A,POINT(151.918 -6.473)
-171.995484,-36.713094,zWzws,"LINESTRING(54.043 11.552, 40.495 -73.729)"
-13.089783,72.826125,JPQjQgv,"LINESTRING(-92.184 49.552, -14.051 0.148)"
68.79698,83.000724,fGdW,"LINESTRING(105.163 -56.754, -3.127 5.433)"
24.672814,15.924728,Es,"POLYGON((-117.914 12.343, -117.914 -34.625, 118.768 -34.625, 118.768 12.343, -117.914 12.343))"
110.860194,-11.536283,SCyt,POINT(-109.886 59.616)
-42.384204,48.710177,yJsPj,"POLYGON((-36.818 18.698, -36.818 -78.162, -153.160 -78.162, -153.160 18.698, -36.818 18.698))"
88.690268,-48.050582,spiyS,POINT(105.499 -26.357)
-53.063401,-67.36246,TjhTe,POINT(-36.117 -26.705)
17.10198,-71.203901,QnGrVi,POINT(-17.418 -29.021)
47.192445,82.596345,uO,"POLYGON((-15.187 -7.095, -15.187 42.416, -170.324 42.416, -170.324 -7.095, -15.187 -7.095))"
83.422493,-23.233455,immk,POINT(161.046 19.103)
117.646232,74.578654,Qa,POINT(-107.538 -3.560)
170.948851,-5.946124,uOcM,POINT(48.708 0.627)
123.016906,79.259327,KMX,POINT(19.367 27.311)
-18.994512,5.749337,Zh,"POLYGON((111.286 -84.465, 111.286 -79.024, 151.084 -79.024, 151.084 -84.465, 111.286 -84.465))"
125.091856,25.731021,Re,"LINESTRING(-153.749 8.120, -94.685 -77.961)"
18.82103,-18.732895,ISAK,"LINESTRING(74.046 -17.077, -95.523 65.701)"
-4.884418,30.324226,oB,"POLYGON((28.838 59.046, 28.838 84.624, -156.567 84.624, -156.567 59.046, 28.838 59.046))"
55.221081,-2.761825,nY,"POLYGON((22.970 65.556, 22.970 33.420, 75.723 33.420, 75.723 65.556, 22.970 65.556))"
92.852646,72.24264,eZX,"LINESTRING(-92.602 -40.553, -99.753 -16.764)"
-157.704741,-50.241585,lx,"LINESTRING(7.015 83.169, 169.030 61.730)"
167.934099,34.380233,xJU,POINT(-11.373 3.084)
-147.024704,-68.748256,h,"POLYGON((-153.207 60.596, -153.207 20.361, -64.192 20.361, -64.192 60.596, -153.207 60.596))"
-4.193202,38.057689,dEfY,POINT(125.650 15.919)
84.861684,-74.426495,sRAEnwO,"POLYGON((122.330 20.174, 122.330 27.795, 174.659 27.795, 174.659 20.174, 122.330 20.174))"
-148.214762,-48.724919,Rjv,POINT(-73.988 -35.958)
16.487285,70.935531,FFbMgNI,"POLYGON((82.799 -75.538, 82.799 65.962, -13.550 65.962, -13.550 -75.538, 82.799 -75.538))"
126.197511,-66.078513,Q,"POLYGON((61.327 24.214, 61.327 -45.082, -32.842 -45.082, -32.842 24.214, 61.327 24.214))"
147.011297,35.544595,TKo,"LINESTRING(62.316 46.433, -136.390 84.124)"
-103.239877,79.280421,CZAnzQn,POINT(-21.070 -32.419)
8.052656,-33.817176,SrRkxT,"POLYGON((-87.586 -5.405, -87.586 54.108, -135.215 54.108, -135.215 -5.405, -87.586 -5.405))"
-116.148112,-46.518164,glB,POINT(-20.208 11.457)
53.873688,65.518511,hMwM,POINT(5.400 16.388)
113.969481,50.493622,GkZs,POINT(65.967 -43.461)
56.0658,-36.200592,dtIci,"LINESTRING(-73.942 -8.123, -14.330 -0.256)"
-131.561787,-6.671017,STi,POINT(-8.354 -0.898)
160.817267,-64.314301,uy,POINT(-26.664 23.652)
-24.197739,-70.457919,SsUtuV,POINT(65.109 29.448)
-51.537364,-33.559219,mRPIr,"LINESTRING(101.872 4.812, -83.138 -66.871)"
150.363457,29.967235,ENRnQNu,POINT(170.267 19.110)
-79.269934,5.317168,kb,"LINESTRING(-16.746 34.972, -169.024 -14.191)"
-9.10671,68.326636,tKEKV,"POLYGON((49.598 -77.259, 49.598 39.245, -63.269 39.245, -63.269 -77.259, 49.598 -77.259))"
33.075335,-20.940931,lBq,"LINESTRING(19.792 0.544, -92.029 -84.875)"
177.143538,79.683364,jS,"LINESTRING(-135.957 -48.550, 42.745 -64.814)"
-3.464759,36.984952,dTkGHo,POINT(99.429 -10.969)
87.803887,-83.910328,dxPz,POINT(46.119 17.330)
58.170906,-61.017842,vxDKZZ,"LINESTRING(-28.744 7.040, -14.544 1.615)"
9.149232,75.9242,xqnaT,"LINESTRING(53.640 37.360, -151.896 -75.124)"
-1.44664,-22.321456,ycX,POINT(20.994 19.722)
-137.542927,77.26671,smxAGAc,POINT(67.103 46.289)
-77.010787,21.922978,UywzYci,"LINESTRING(116.887 -2.055, -48.639 39.238)"
44.6005,-14.556818,TYcO,"LINESTRING(97.434 -29.944, -144.690 0.719)"
10.540203,5.860961,SEDI,"POLYGON((158.942 63.675, 158.942 -51.893, 70.314 -51.893, 70.314 63.675, 158.942 63.675))"
175.429446,38.685927,rh,POINT(56.107 -10.716)
-171.235855,-54.792744,YxKEaQ,"POLYGON((141.012 54.367, 141.012 67.402, -4.383 67.402, -4.383 54.367, 141.012 54.367))"
-121.010191,-11.647631,CHEPX,"LINESTRING(121.143 -48.540, 43.731 -62.088)"
26.506692,74.344289,UG,"LINESTRING(-2.960 -28.992, -85.158 48.344)"
-113.736789,-49.732103,jkshsF,POINT(76.906 78.588)
-28.48431,-11.671807,WsUf,POINT(52.148 -68.417)
172.433614,50.433176,Lwec,"LINESTRING(142.306 -48.259, -31.132 -71.329)"
-82.476156,67.245501,ZnLvY,POINT(86.785 -56.762)
-86.323689,-39.926813,rnZS,"POLYGON((16.630 64.844, 16.630 60.003, -60.974 60.003, -60.974 64.844, 16.630 64.844))"
35.04102,11.47592,jt,POINT(62.110 32.338)
68.493602,-30.5974,aPtqzfb,"LINESTRING(36.822 10.179, 115.776 20.007)"
-88.371865,-41.978501,RJhzm,"POLYGON((151.103 69.481, 151.103 63.924, 70.007 63.924, 70.007 69.481, 151.103 69.481))"
134.817601,80.092299,kq,"LINESTRING(15.138 -48.674, -54.703 21.171)"
-135.583645,64.984489,mBKry,POINT(-17.600 57.920)
45.684575,-55.696204,jKyvQ,"LINESTRING(-38.594 32.205, -19.122 48.256)"
-59.346039,-66.092293,cmSoBsi,"POLYGON((33.522 0.392, 33.522 -71.579, -98.004 -71.579, -98.004 0.392, 33.522 0.392))"
-174.373289,-61.721367,LWRJcC,"LINESTRING(-138.203 -30.916, 174.037 22.668)"
82.57052,4.858411,m,"LINESTRING(10.606 25.710, -60.189 5.532)"
-115.767231,41.405101,cuq,POINT(-34.392 -21.524)
176.017427,31.030106,nrO,"LINESTRING(155.782 -25.638, 108.353 -71.040)"
-81.711486,4.305331,hlvvdXi,"POLYGON((-120.900 -56.454, -120.900 -77.514, -107.194 -77.514, -107.194 -56.454, -120.900 -56.454))"
118.580066,-13.212704,RDnY,"POLYGON((26.588 52.401, 26.588 -46.501, -133.836 -46.501, -133.836 52.401, 26.588 52.401))"
-51.285081,80.406161,doycZj,POINT(-11.491 8.059)
42.262821,21.152843,SWae,POINT(-58.754 -1.357)
121.346108,-81.736721,LFmty,"LINESTRING(44.609 -68.175, -45.241 -21.805)"
-103.894536,76.649774,Co,"POLYGON((-42.300 29.695, -42.300 -56.783, -86.285 -56.783, -86.285 29.695, -42.300 29.695))"
-125.567663,-2.807059,Lo,POINT(-87.315 13.632)
-95.705588,81.764033,Di,"LINESTRING(118.423 -46.830, 73.468 -8.817)"
-43.819265,-71.893419,SS,"LINESTRING(-173.591 -51.828, 25.949 81.392)"
-147.019334,45.515482,xldxOa,POINT(-47.369 0.772)
86.056732,-21.294146,tgCSNcA,"LINESTRING(-97.047 39.422, 169.996 77.162)"
-19.747789,11.774927,jwfl,POINT(-92.479 2.954)
-146.289578,-19.674142,kOvhc,POINT(18.743 10.315)
125.884421,-70.998031,OOzvm,"LINESTRING(143.629 79.033, -136.327 69.508)"
-3.251392,-25.389347,AuplB,"POLYGON((154.926 -20.958, 154.926 27.045, 6.472 27.045, 6.472 -20.958, 154.926 -20.958))"
66.585058,-44.105549,BWa,"LINESTRING(-45.874 54.781, -25.590 54.791)"
103.733272,30.416391,iifag,"POLYGON((-134.571 65.833, -134.571 74.946, -151.085 74.946, -151.085 65.833, -134.571 65.833))"
70.642399,-61.388203,Fz,"POLYGON((50.245 -42.265, 50.245 -50.142, -171.728 -50.142, -171.728 -42.265, 50.245 -42.265))"
-165.701997,78.354975,MRmxku,POINT(35.539 -51.564)
-163.284428,54.506174,fYo,POINT(-21.874 -32.558)
-127.964583,66.057855,l,"POLYGON((-118.678 65.366, -118.678 21.762, 138.117 21.762, 138.117 65.366, -118.678 65.366))"
-147.157531,-52.723083,QXi,POINT(-41.672 1.861)
-174.72817,5.025524,sNqQfww,"POLYGON((46.476 -40.360, 46.476 52.553, -55.663 52.553, -55.663 -40.360, 46.476 -40.360))"
152.745948,38.691168,zFIkN,"LINESTRING(110.379 25.621, 7.723 -75.468)"
167.180429,15.302,uEBNXV,"POLYGON((-23.401 84.015, -23.401 6.836, 27.439 6.836, 27.439 84.015, -23.401 84.015))"
-19.796513,35.52953,cjo,"POLYGON((104.679 7.276, 104.679 37.080, 130.772 37.080, 130.772 7.276, 104.679 7.276))"
-111.337931,38.930557,eb,POINT(-133.618 -21.343)
-86.808296,48.611872,iKUk,"POLYGON((63.015 -13.905, 63.015 36.209, 110.766 36.209, 110.766 -13.905, 63.015 -13.905))"
-1.904263,75.492232,wRVeqwo,"LINESTRING(134.046 12.284, 153.566 71.601)"
122.608758,-63.077997,wutJAn,POINT(157.542 7.199)
-160.176165,52.559247,qfZZ,"POLYGON((34.866 -37.755, 34.866 -71.183, 116.964 -71.183, 116.964 -37.755, 34.866 -37.755))"
47.536948,-84.025657,CP,POINT(-31.491 53.702)
138.308666,-54.398856,hu,POINT(-9.709 -43.082)
-18.799533,-39.141137,Rcet,"POLYGON((-78.377 -21.558, -78.377 -4.867, -114.382 -4.867, -114.382 -21.558, -78.377 -21.558))"
-62.197916,-16.891516,wZRa,"POLYGON((-99.872 63.774, -99.872 18.505, 15.960 18.505, 15.960 63.774, -99.872 63.774))"
129.392876,-47.26561,LVUU,POINT(97.323 -63.257)
-79.851221,-21.191701,QOnuc,POINT(133.892 -20.450)
-154.828641,-79.889896,msHfj,"LINESTRING(-1.889 -33.775, -62.056 -22.147)"
-104.267955,-68.147541,mj,POINT(-30.935 -39.501)
-49.824249,-44.246098,nXPdPbE,POINT(-40.768 36.815)
-105.01856,-81.139862,diCJNV,"LINESTRING(-139.293 -4.916, -20.510 80.176)"
-141.225818,28.398047,kNhsx,POINT(-39.626 3.001)
99.812512,-4.924913,ZgZqbh,"POLYGON((9.155 72.030, 9.155 27.869, 90.630 27.869, 90.630 72.030, 9.155 72.030))"
6.41321,-13.104351,OuSYu,POINT(88.260 3.782)
-143.293539,3.281006,Fr,"POLYGON((32.059 -48.676, 32.059 58.203, -116.451 58.203, -116.451 -48.676, 32.059 -48.676))"
65.493653,63.865606,yP,POINT(8.292 19.292)
-128.180445,9.23898,eliSDUJ,POINT(20.960 8.319)
-4.49324,-65.54331,YkhJ,"POLYGON((-103.001 47.875, -103.001 -43.260, 43.155 -43.260, 43.155 47.875, -103.001 47.875))"
58.379064,-73.862032,Ku,POINT(-41.020 -10.720)
-142.443008,10.27095,vIidIGM,"LINESTRING(-19.406 -0.403, 69.745 20.270)"
20.40852,55.969212,hspD,"LINESTRING(4.020 -54.183, 81.283 -35.530)"
-115.237131,-81.843188,MfE,POINT(-39.139 44.134)
6.360862,-54.024609,ZlyzB,POINT(-80.399 -2.213)
124.735712,33.809254,NIEVpdW,"LINESTRING(-132.033 -19.068, -43.033 -5.567)"
-164.293131,-55.648168,eqLBWHA,POINT(175.943 13.211)
-147.129255,32.442079,KDIJ,"POLYGON((-80.865 -46.133, -80.865 -67.260, 44.373 -67.260, 44.373 -46.133, -80.865 -46.133))"
98.700812,-24.545346,BpjVy,"LINESTRING(-29.612 -80.827, 14.253 74.098)"
74.974122,-64.465976,pfJEzKa,"LINESTRING(-22.143 37.964, 106.609 26.519)"
24.221267,-57.91884,Sitq,"LINESTRING(176.922 -32.533, -143.858 -28.250)"
163.9501,-48.205471,bYKlve,POINT(5.538 11.632)
59.743832,-40.991217,KmwoQ,"LINESTRING(125.868 52.275, 42.540 2.970)"
74.578718,70.614575,UduGPlp,"POLYGON((93.117 42.574, 93.117 -17.424, 27.522 -17.424, 27.522 42.574, 93.117 42.574))"
-178.264469,-29.85757,tzkMQKH,POINT(18.310 52.271)
96.027113,-43.879535,jRpOtNy,"LINESTRING(107.616 29.137, -127.719 52.391)"
-106.95658,-13.42491,wJFt,POINT(133.621 40.048)
-53.494934,-77.830854,NKnC,POINT(24.160 -9.114)
49.568056,38.160194,jVly,POINT(-4.552 -0.253)
50.317712,-51.617613,QqkM,"POLYGON((106.976 52.768, 106.976 12.121, -37.419 12.121, -37.419 52.768, 106.976 52.768))"
-112.947717,70.514394,ERu,POINT(-59.191 20.844)
143.946398,23.316353,Ihwc,POINT(54.272 41.151)
107.105789,27.948861,Njs,"LINESTRING(52.347 -19.937, -28.952 55.908)"
95.801419,34.480978,sXIuC,POINT(-70.205 -15.525)
2.700944,-75.398362,QCwY,POINT(-5.054 9.598)
-93.503887,-78.286198,R,POINT(149.598 23.162)
43.963071,-60.91245,uoFOFI,"LINESTRING(-95.544 73.980, 21.414 -45.544)"
167.337237,-15.553813,uMac,POINT(66.308 30.052)
91.25959,-32.351769,jTEW,"LINESTRING(-31.783 28.205, 164.736 -18.670)"
7.497585,-77.57164,dBnN,"LINESTRING(19.568 -76.505, 125.975 50.488)"
32.305568,42.87808,aruc,"LINESTRING(-44.822 73.364, 29.492 -18.788)"
-72.438847,67.019554,RtpQasy,"POLYGON((164.726 67.257, 164.726 72.587, 127.070 72.587, 127.070 67.257, 164.726 67.257))"
-152.110952,-56.471788,Ek,"POLYGON((100.306 -14.340, 100.306 -66.985, 116.793 -66.985, 116.793 -14.340, 100.306 -14.340))"
-168.774259,-11.338945,XSGllUA,"LINESTRING(-147.981 60.905, 113.682 60.389)"
56.89836,-72.630751,mLR,"POLYGON((-115.347 -15.908, -115.347 75.643, 80.569 75.643, 80.569 -15.908, -115.347 -15.908))"
109.717812,30.610068,AMePSpU,"POLYGON((15.911 -26.482, 15.911 -55.603, -40.126 -55.603, -40.126 -26.482, 15.911 -26.482))"
14.235917,-16.493199,kVX,"LINESTRING(-106.471 49.650, -131.238 -1.569)"
155.787384,21.429038,CUumnW,"LINESTRING(136.395 -41.697, -143.424 12.675)"
-139.695174,-37.596363,dN,"LINESTRING(-24.390 57.671, -145.184 -16.374)"
125.710209,30.562487,QoatIj,POINT(-133.901 34.860)
52.022479,34.241019,kqlfmv,"LINESTRING(77.926 7.087, -125.028 -15.770)"
155.159173,9.016077,SpA,POINT(-78.383 -64.528)
